t,o,h,l,c,v
1577836800000,7193.73694432,7196.99999944,7174.93259693,7179.868171,30.37434269
1577838600000,7178.080241,7187.3209731,7176.08217153,7178.00000001,8.90043302
1577840400000,7178.0,7218.99999983,7178.0,7212.654803,23.64678972
1577842200000,7213.20446027,7228.45020031,7204.6842927,7216.34986866,150.22426191
1577844000000,7217.99999997,7236.89999999,7210.63262361,7223.61297002,202.69288553
1577845800000,7225.93065165,7244.00105226,7225.93065165,7243.19215599,88.83051487
1577847600000,7243.19215599,7245.529221,7219.20000002,7238.4755356,51.60007068
1577849400000,7238.83484428,7243.25014346,7216.86046697,7224.78452008,49.3754713
1577851200000,7223.2430631,7229.2359961,7214.99434649,7222.60530527,36.33358458
1577853000000,7222.17736381,7231.17864179,7216.79193512,7216.79193512,42.72939566
1577854800000,7220.49094857,7227.69756057,7215.87011271,7219.87846898,121.58730594
1577856600000,7219.87846898,7227.92271526,7213.35642061,7222.63306003,136.81560388
1577858400000,7222.00680553,7236.24042483,7220.98109149,7234.26669767,189.06611238
1577860200000,7234.965309,7235.83302909,7217.87850766,7218.94522802,157.87013633
1577862000000,7219.25619583,7233.68481276,7217.59518161,7232.84103826,138.17581737
1577863800000,7232.84103826,7233.54496841,7199.99434648,7208.571362,199.21146069
1577865600000,7208.56120406,7209.73191012,7183.39999901,7188.81886656,168.70279891
1577867400000,7188.81886653,7206.89434073,7177.44352136,7203.3535766,135.99010007
1577869200000,7201.67081224,7212.09934077,7190.0,7198.18299562,119.25387303
1577871000000,7198.12114739,7205.29823661,7189.6615686,7189.99617645,75.34575823
1577872800000,7189.15955964,7209.10605276,7187.58932294,7205.05648097,61.95843176
1577874600000,7205.05648097,7210.42614752,7193.86637497,7202.70250085,91.09648059
1577876400000,7203.00191577,7236.48698888,7194.63201614,7221.79289927,46.4550637
1577878200000,7223.70795743,7234.51678688,7189.58839499,7199.16563645,59.00633836
1577880000000,7199.16563644,7220.17,7195.94464659,7211.02453166,40.53175071
1577881800000,7213.32106029,7228.75931301,7204.99434648,7226.841572,30.1322713
1577883600000,7225.02497551,7228.69649193,7210.68977408,7218.526273,8.57828976
1577885400000,7220.052525,7230.0,7214.99434669,7219.19136422,5.58706995
1577887200000,7220.91065028,7231.75336014,7206.10001022,7229.41177101,8.32157404
1577889000000,7231.75336014,7234.8,7215.90000007,7219.5712098,42.4358466
1577890800000,7219.5712098,7230.0,7215.9,7226.82606302,84.69310693
1577892600000,7226.82606301,7254.49896,7217.48377812,7233.05577649,153.09436444
1577894400000,7233.38032898,7239.29999999,7214.77544402,7221.51417287,127.86091824
1577896200000,7221.51417286,7248.99999999,7216.34064753,7242.81356559,66.07746403
1577898000000,7245.591824,7253.64101277,7225.05000007,7244.03240719,114.32472067
1577899800000,7244.88725035,7247.44762723,7231.82643116,7237.03286187,29.9581627
1577901600000,7237.03286187,7247.83577154,7232.42243045,7236.52947925,32.6760522
1577903400000,7238.07049975,7243.83915279,7225.242252,7241.90063788,41.00026232
1577905200000,7241.69113195,7241.69113195,7225.73350254,7229.16951939,42.85482891
1577907000000,7229.41425699,7238.57526214,7225.24763942,7228.87103776,29.01737888
1577908800000,7229.46993346,7243.71139963,7225.15000004,7238.74240919,30.17442216
1577910600000,7239.980538,7244.44253168,7230.0,7239.48541774,23.71653544
1577912400000,7235.65137053,7243.47917732,7227.9,7229.8,31.16037782
1577914200000,7229.124904,7237.98983399,7225.60000007,7233.49582,10.06101477
1577916000000,7234.89683257,7234.89683257,7211.47810991,7218.48195236,11.08631185
1577917800000,7214.99434648,7214.99434648,7190.52500001,7197.79400452,16.18582693
1577919600000,7199.43223099,7199.43223099,7178.0,7195.52495147,17.60039071
1577921400000,7195.52495147,7204.172985,7184.56386024,7201.56316558,16.18859686
1577923200000,7198.22265759,7200.96312551,7184.94917228,7197.20000224,6.64427634
1577925000000,7197.861084,7211.745123,7197.266379,7211.745123,6.2231239
