,dt,o,h,l,c
0,2020-01-01 00:00:00,7193.73694432,7196.99999944,7174.93259693,7179.868171
1,2020-01-01 00:30:00,7178.080241,7187.3209731,7176.08217153,7178.00000001
2,2020-01-01 01:00:00,7178.0,7218.99999983,7178.0,7212.654803
3,2020-01-01 01:30:00,7213.20446027,7228.45020031,7204.6842927,7216.34986866
4,2020-01-01 02:00:00,7217.99999997,7236.89999999,7210.63262361,7223.61297002
5,2020-01-01 02:30:00,7225.93065165,7244.00105226,7225.93065165,7243.19215599
6,2020-01-01 03:00:00,7243.19215599,7245.529221,7219.20000002,7238.4755356
7,2020-01-01 03:30:00,7238.83484428,7243.25014346,7216.86046697,7224.78452008
8,2020-01-01 04:00:00,7223.2430631,7229.2359961,7214.99434649,7222.60530527
9,2020-01-01 04:30:00,7222.17736381,7231.17864179,7216.79193512,7216.79193512
10,2020-01-01 05:00:00,7220.49094857,7227.69756057,7215.87011271,7219.87846898
11,2020-01-01 05:30:00,7219.87846898,7227.92271526,7213.35642061,7222.63306003
12,2020-01-01 06:00:00,7222.00680553,7236.24042483,7220.98109149,7234.26669767
13,2020-01-01 06:30:00,7234.965309,7235.83302909,7217.87850766,7218.94522802
14,2020-01-01 07:00:00,7219.25619583,7233.68481276,7217.59518161,7232.84103826
15,2020-01-01 07:30:00,7232.84103826,7233.54496841,7199.99434648,7208.571362
16,2020-01-01 08:00:00,7208.56120406,7209.73191012,7183.39999901,7188.81886656
17,2020-01-01 08:30:00,7188.81886653,7206.89434073,7177.44352136,7203.3535766
18,2020-01-01 09:00:00,7201.67081224,7212.09934077,7190.0,7198.18299562
19,2020-01-01 09:30:00,7198.12114739,7205.29823661,7189.6615686,7189.99617645
20,2020-01-01 10:00:00,7189.15955964,7209.10605276,7187.58932294,7205.05648097
21,2020-01-01 10:30:00,7205.05648097,7210.42614752,7193.86637497,7202.70250085
22,2020-01-01 11:00:00,7203.00191577,7236.48698888,7194.63201614,7221.79289927
23,2020-01-01 11:30:00,7223.70795743,7234.51678688,7189.58839499,7199.16563645
24,2020-01-01 12:00:00,7199.16563644,7220.17,7195.94464659,7211.02453166
25,2020-01-01 12:30:00,7213.32106029,7228.75931301,7204.99434648,7226.841572
26,2020-01-01 13:00:00,7225.02497551,7228.69649193,7210.68977408,7218.526273
27,2020-01-01 13:30:00,7220.052525,7230.0,7214.99434669,7219.19136422
28,2020-01-01 14:00:00,7220.91065028,7231.75336014,7206.10001022,7229.41177101
29,2020-01-01 14:30:00,7231.75336014,7234.8,7215.90000007,7219.5712098
30,2020-01-01 15:00:00,7219.5712098,7230.0,7215.9,7226.82606302
31,2020-01-01 15:30:00,7226.82606301,7254.49896,7217.48377812,7233.05577649
32,2020-01-01 16:00:00,7233.38032898,7239.29999999,7214.77544402,7221.51417287
33,2020-01-01 16:30:00,7221.51417286,7248.99999999,7216.34064753,7242.81356559
34,2020-01-01 17:00:00,7245.591824,7253.64101277,7225.05000007,7244.03240719
35,2020-01-01 17:30:00,7244.88725035,7247.44762723,7231.82643116,7237.03286187
36,2020-01-01 18:00:00,7237.03286187,7247.83577154,7232.42243045,7236.52947925
37,2020-01-01 18:30:00,7238.07049975,7243.83915279,7225.242252,7241.90063788
38,2020-01-01 19:00:00,7241.69113195,7241.69113195,7225.73350254,7229.16951939
39,2020-01-01 19:30:00,7229.41425699,7238.57526214,7225.24763942,7228.87103776
40,2020-01-01 20:00:00,7229.46993346,7243.71139963,7225.15000004,7238.74240919
41,2020-01-01 20:30:00,7239.980538,7244.44253168,7230.0,7239.48541774
42,2020-01-01 21:00:00,7235.65137053,7243.47917732,7227.9,7229.8
43,2020-01-01 21:30:00,7229.124904,7237.98983399,7225.60000007,7233.49582
44,2020-01-01 22:00:00,7234.89683257,7234.89683257,7211.47810991,7218.48195236
45,2020-01-01 22:30:00,7214.99434648,7214.99434648,7190.52500001,7197.79400452
46,2020-01-01 23:00:00,7199.43223099,7199.43223099,7178.0,7195.52495147
47,2020-01-01 23:30:00,7195.52495147,7204.172985,7184.56386024,7201.56316558
48,2020-01-02 00:00:00,7198.22265759,7200.96312551,7184.94917228,7197.20000224
49,2020-01-02 00:30:00,7197.861084,7211.745123,7197.266379,7211.745123
50,2020-01-02 01:00:00,7210.42984281,7210.42984282,7188.42717113,7191.85415895
51,2020-01-02 01:30:00,7191.75415895,7195.10354939,7184.9603723,7192.86729926
52,2020-01-02 02:00:00,7189.84656218,7191.68365793,7154.71401105,7165.648805
53,2020-01-02 02:30:00,7164.64178025,7175.57157304,7152.21871498,7169.47871652
54,2020-01-02 03:00:00,7169.568252,7169.568252,7151.95400005,7158.04211399
55,2020-01-02 03:30:00,7158.04211399,7164.35796271,7123.0,7126.022158
56,2020-01-02 04:00:00,7126.12980529,7160.6557575,7102.14192925,7145.91402993
57,2020-01-02 04:30:00,7146.35701496,7154.56873349,7130.20000007,7143.72934397
58,2020-01-02 05:00:00,7142.67897718,7154.19999977,7133.75993728,7141.0495037
59,2020-01-02 05:30:00,7141.0495037,7148.89999968,7127.1534354,7137.89773144
60,2020-01-02 06:00:00,7138.24829851,7148.74252363,7134.71225914,7147.96610344
61,2020-01-02 06:30:00,7147.96610344,7148.91053,7122.79655098,7134.55168744
62,2020-01-02 07:00:00,7136.01272936,7141.34588809,7105.15470858,7111.00064508
63,2020-01-02 07:30:00,7110.0,7129.20917923,7107.11105259,7109.85399571
64,2020-01-02 08:00:00,7108.81467544,7146.08653351,7108.67213692,7132.13432904
65,2020-01-02 08:30:00,7131.31391752,7154.80499989,7129.25986328,7154.69100719
66,2020-01-02 09:00:00,7153.56835059,7154.41946027,7140.88348027,7143.140515
67,2020-01-02 09:30:00,7142.90000003,7162.71521809,7137.14927701,7161.977731
68,2020-01-02 10:00:00,7162.17436491,7179.89999983,7158.74806519,7177.68797319
69,2020-01-02 10:30:00,7177.68797319,7182.41984385,7155.6890201,7160.37517305
70,2020-01-02 11:00:00,7160.37517305,7170.62262934,7145.29481373,7148.19500308
71,2020-01-02 11:30:00,7148.9060648,7156.10815877,7138.86693594,7141.05402739
72,2020-01-02 12:00:00,7142.66547985,7167.52337067,7137.69411432,7158.09488861
