t,o,h,l,c,v
1609459200000,28921.5,29026.0,28703.5,28990.0,917.494
1609462800000,28990.0,29505.5,28956.5,29411.0,1927.83
1609466400000,29411.0,29462.0,29150.0,29218.0,931.537
1609470000000,29218.0,29358.5,29171.5,29303.0,440.535
1609473600000,29303.0,29397.5,29078.0,29229.5,711.549
1609477200000,29229.5,29232.0,29120.5,29204.5,313.622
1609480800000,29204.5,29276.5,29123.0,29175.5,237.292
1609484400000,29175.5,29200.0,28847.0,29097.5,652.849
1609488000000,29097.5,29186.0,28903.0,29045.0,479.384
1609491600000,29045.0,29312.0,29021.5,29243.5,539.991
1609495200000,29243.5,29383.5,29219.0,29270.5,555.235
1609498800000,29270.5,29453.5,29270.5,29343.5,402.753
1609502400000,29343.5,29673.5,29199.0,29276.0,1495.5
1609506000000,29276.0,29502.0,29264.5,29494.5,456.379
1609509600000,29494.5,29567.5,29311.0,29360.0,452.269
1609513200000,29360.0,29407.5,29070.0,29226.0,820.595
1609516800000,29226.0,29374.0,29171.5,29325.0,640.163
1609520400000,29325.0,29353.0,28962.0,29087.5,1217.397
1609524000000,29087.5,29273.0,28654.0,29074.5,1989.03
1609527600000,29074.5,29125.0,28968.0,29038.5,909.486
1609531200000,29038.5,29288.0,28888.5,29230.0,866.992
1609534800000,29230.0,29292.0,29169.5,29180.0,628.187
1609538400000,29180.0,29329.0,29129.0,29262.5,924.458
1609542000000,29262.5,29330.5,29241.0,29325.0,723.885
1609545600000,29325.0,29333.0,28967.5,29196.5,927.032
1609549200000,29196.5,29410.0,29125.5,29384.0,669.985
1609552800000,29384.0,29468.0,29332.0,29332.0,644.619
1609556400000,29332.0,29379.0,29279.5,29357.5,351.467
1609560000000,29357.5,29389.5,29244.0,29343.0,671.057
1609563600000,29343.0,29615.5,29343.0,29615.5,1125.074
1609567200000,29615.5,29789.0,29495.0,29734.5,1226.608
1609570800000,29734.5,29849.0,29663.5,29777.0,857.722
1609574400000,29777.0,29877.0,29677.5,29866.5,931.603
1609578000000,29866.5,29930.0,29607.5,29647.0,1008.201
1609581600000,29647.0,29841.5,29510.0,29701.5,812.922
